id,title,price,image,description
21,"Alkholisi Plain Detergent Sabun Haji dan Umroh",15500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/5/719e343a-b80a-4a3d-9d25-8d438162403e.jpg.webp","Sabun ini dirancang khusus untuk memenuhi kebutuhan haji dan umroh, dengan komposisi yang aman dan alami."
22,"Bibit Parfum Body Asli Vanilla 100 ml",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/14/62db28b5-d6b2-4f1b-b049-a3651e2f7a63.jpg.webp","Bibit parfum body dengan ukuran 100 ml hadir dengan varian aroma yang beragam."
23,"Stiker Siap Pakai Sabun Cuci Piring Isi 30 pcs",17000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/14/389c34d2-ce56-4117-aca1-20a0877c05c7.jpg.webp","Stiker siap pakai untuk kebutuhan rumah tangga ini sangat cocok untuk Anda yang ingin mempermudah aktivitas sehari-hari."
24,"Sabun Batang Cuci Pelok Warna-Warni",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/12/9dc593cb-3e3f-4c5f-9252-313ac9be4e0f.jpg.webp","Sabun batang cuci pelok warna-warni aneka wangi 1 pak isi 12 batang (1 lusin) dengan berat kurang lebih 150 gram."
25,"Sampo Shampoo Mobil dan Motor 1 Liter",15500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/3/003705c7-01cb-48a9-bcf7-39b7f898806b.jpg.webp","Membersihkan kendaraan adalah hal penting untuk menjaga penampilan dan kondisi mobil maupun motor agar tetap terawat."
26,"Shampoo Mobil Motor Ukuran 5 Liter",49500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/2/b2f5ca9b-07c4-41b7-93f4-dbd6a6637749.jpg.webp","Shampoo mobil-motor ukuran 5 liter merupakan pilihan yang tepat baik untuk keperluan bisnis carwash maupun penggunaan pribadi."
27,"Sabun Lerak Ramah Lingkungan 1 Liter",24500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/d7956111-eb65-45c8-8020-6af3b3fe21b2.jpg.webp","Salah satu kunci utama dalam merawat kain batik adalah penggunaan sabun yang tepat."
28,"Bahan Sabun Mandi Batang Putih",30000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/29/b0893018-2a42-4366-b5a0-0bec8720bc57.jpg.webp","Sabun mandi batang putih atau white chip soap merupakan salah satu jenis sabun mandi yang semakin populer di kalangan pecinta produk perawatan kulit alami."
29,"Karbol Pinus Pembersih 1200 ml",9500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/28/f841f0e8-f223-46e9-b6ea-0cff32a36692.jpg.webp","Karbol pinus memiliki kemampuan untuk membunuh kuman dan bakteri yang ada di lantai."
30,"Biang Karbol Sereh Pinus 5 Liter Dihitung 1 kg",25000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/26/3c8445ba-4b02-48c4-91df-71b380d5c2d3.jpg.webp","Biang karbol tersedia dalam berbagai varian aroma, seperti aroma sereh dan aroma pinus."
